id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
104979,105319,202730,8140,Wo 9733A,The Ind,,21.331096,-53.449427,98.7887,107.37,-67.12,-14.5,4.390,1.984,A5V,0.191,13.809188,-11.601000,-24.328550,-0.00000268,0.00002284,0.00000604,5.584467926763927,-0.9328684913107426,0.0000005205444488125001,-0.000000325406942,The,,Ind,1,104979,Wo 9733,14.008769839545833,,,
104994,105334,202874,8145,,,,21.335968,-45.021893,1896.51,1.02,3.00,2.0,6.150,-2.672,C5II,2.387,314.989183,-263.937333,-411.265625,0.00000754,-0.00000257,0.00000453,5.585743247269621,-0.7857802607364126,0.0000000049450995416666674,0.00000001454441,,,Ind,1,104994,,1020.4694319422,T,6.33,5.93
105158,105498,203349,,,,,21.366895,-15.159206,326200,1.92,-17.35,42.0,10.460,-9.540,Md,1.500,74481.103132,-61390.000815,-26150.203658,-0.00107323,0.00209077,-0.00812935,5.593840068448698,-0.26457806200776374,0.000000009308422666666665,-0.000000084115173,,,Cap,1,105158,,570164.2722807478,T,11.833,9.383
105499,105841,203760,8188,,Gam Ind,,21.437622,-54.660459,218.048,1.24,38.69,7.0,6.100,1.975,F1III,0.366,30.286167,-24.035234,-54.528017,0.00001150,-0.00000862,0.00000141,5.612356287602284,-0.9540049887238862,0.000000006011689638888889,0.000000187574413,Gam,,Ind,1,105499,,14.12537544622754,,,
105672,106013,204128,,,,,21.472188,-52.820711,1025.79,11.37,0.09,7.4,9.090,1.602,K1IIICNIVp,1.005,149.918610,-116.780591,-250.549863,0.00001435,0.00001080,-0.00000595,5.62140566932901,-0.921895327182095,0.000000055123315479166665,0.000000000436332,,,Ind,1,105672,,19.915902890576117,BH,9.187,9.037
105892,106234,204554,,,,,21.517575,-50.846918,354.951,53.08,-42.77,0.0,8.380,3.197,F7V,0.508,54.698863,-41.573339,-84.381021,0.00000301,0.00003288,-0.00001425,5.633288017717139,-0.8874461323545962,0.00000025733910163888886,-0.000000207354811,,,Ind,1,105892,,4.583529174381887,CQ,8.42,8.35
105936,106278,204867,8232,,22Bet Aqr,Sadalsuud,21.525982,-5.571172,537.397,22.79,-6.70,7.0,2.900,-3.184,G0Ib,0.828,130.759282,-98.929336,-15.993766,0.00001625,0.00001053,-0.00000602,5.635488811779081,-0.097235298222015,0.00000011048903779861111,-0.000000032482516,Bet,22,Aqr,1,105936,,1635.3096517445822,,,
106018,106360,204320,,,,,21.541748,-73.892960,1864,19.65,-23.81,0.0,7.830,-0.955,M4III,1.599,126.820145,-95.128111,-548.997211,-0.00001803,0.00008157,-0.00001830,5.639616414576522,-1.2896754430486987,0.00000009526588822916665,-0.000000115434137,,,Ind,1,106018,,209.89398836235245,CM,7.91,7.75
106105,106447,,,,,,21.560159,0.395525,326200,243.86,-32.29,0.0,12.140,-7.860,sdF5:,0.462,80282.312563,-59617.730212,690.315051,0.07056737,0.09484396,-0.01565290,5.644436363833112,0.0069032052195512495,0.0000011822666414027778,-0.000000156546337,,,,1,106105,,121338.88504649786,,12.24,11.88
106611,106954,205847,,,,,21.661345,-51.572638,661.663,10.39,-15.12,0.0,7.700,1.164,F0V,0.319,103.169183,-72.454202,-158.904036,-0.00000366,0.00001505,-0.00000924,5.670926950756238,-0.900112328408495,0.00000005037214140972222,-0.000000073303828,,,Ind,1,106611,,29.81261008172248,CF,7.727,7.677
107117,107460,206744,,,,,21.764852,-54.020293,400.737,78.20,-223.51,-1.4,9.820,4.373,sdG2,0.599,60.166251,-39.864102,-99.413377,-0.00006477,0.00009878,-0.00007704,5.698024802337609,-0.9428319735617487,0.0000003791242981944445,-0.000001083607057,,,,1,107117,,1.551672273907233,,9.864,9.754
107147,107490,206652,,,,,21.771566,-65.307894,1510.19,11.65,-2.53,-7.9,9.250,0.922,C6II,2.450,161.409557,-106.537002,-420.632258,0.00000728,0.00002652,0.00000497,5.699782718206945,-1.1398377813256275,0.000000056480793784722224,-0.000000012265786,,,Ind,1,107147,,37.25632384666037,RR,9.412,8.982
107182,107525,206653,,,,,21.777193,-67.596341,901.105,13.88,-18.63,0.0,7.210,0.004,Ap Si,-0.074,87.955009,-57.868086,-255.392739,-0.00000905,0.00002821,-0.00000951,5.7012558298062155,-1.179778713306895,0.0000000672921388611111,-0.000000090320788,,,Ind,1,107182,,86.77607449911467,BC,7.229,7.179
107362,107705,,,GJ 1264,,,21.818179,-72.102491,53.2225,300.77,-291.10,0.0,9.530,8.467,M2Ve,1.420,4.218226,-2.710722,-15.526337,-0.00000557,0.00003186,-0.00000708,5.711986030023436,-1.25842587481046,0.0000014581741070069445,-0.000001411292624,,,Ind,1,107362,,0.03574374062644804,AY,9.58,9.49
107492,107835,207241,8333,,Omi Ind,,21.846448,-69.629416,543.667,-24.77,-4.73,20.0,5.520,-0.589,M0III,1.378,49.036201,-31.003472,-156.243669,-0.00000771,-0.00001881,-0.00002051,5.719386586226949,-1.2152625646522612,-0.0000001200883486736111,-0.000000022931687,Omi,,Ind,1,107492,,149.830421062266,,,
107858,108200,,,,,,21.921129,32.644778,264.558,762.02,130.39,0.0,11.070,6.525,sdG2:,0.686,58.424557,-35.359092,43.749312,0.00013148,0.00027063,0.00004317,5.738938091800575,0.5697588682998824,0.0000036943772085694442,0.000000632148558,,,,1,107858,,0.21379620895022303,,11.138,11.008
107938,108281,208149,8362,,Pi  Ind,,21.937235,-57.899591,466,16.13,6.43,7.0,6.170,0.395,A3m...,0.215,65.111750,-39.032561,-121.016891,0.00001224,0.00000569,-0.00000370,5.743154763253909,-1.0105384932317087,0.0000000782004466736111,0.000000031173519,Pi,,Ind,1,107938,,60.53408747539136,,,
107995,108340,208217,,,,,21.949076,-61.846196,454.951,23.46,-39.24,0.0,7.200,1.478,Ap...,0.232,56.547310,-33.660551,-122.968492,-0.00001199,0.00002559,-0.00001252,5.746254674201283,-1.07941975360777,0.00000011373728945833334,-0.000000190240888,,,Ind,1,107995,,22.32543861616743,BD,7.223,7.183
108079,108422,208233,,,,,21.964285,-68.213927,189.321,41.72,-86.48,0.0,8.900,5.081,G8V,0.767,18.553099,-10.944124,-53.892976,-0.00001350,0.00002159,-0.00000903,5.750236338812341,-1.1905576255851127,0.0000002022642675277778,-0.00000041926687,,,Ind,1,108079,,0.8083510373900672,DF,9.001,8.821
108086,108431,208450,8368,,Del Ind,,21.965293,-54.992575,188.12,43.00,-3.67,15.0,4.400,0.595,F0IV,0.297,28.500475,-16.801816,-47.236403,0.00001296,0.00000631,-0.00001315,5.750500344111473,-0.9598015056857925,0.00000020846988263888885,-0.000000017792662,Del,,Ind,1,108086,,50.35006087879047,,,
108133,108478,208496,8369,,Kap1Ind,,21.975021,-59.012140,218.926,6.81,28.65,40.0,6.130,1.996,F3V,0.469,29.811294,-17.472468,-57.535642,0.00002619,-0.00001278,-0.00003027,5.7530471118883515,-1.0299561476327088,0.00000003301581164583333,0.000000138899119,Kap-1,,Ind,1,108133,,13.854791675667228,BG,6.312,6.102
108239,108584,208664,,,,,21.996591,-59.570015,805.432,-9.17,2.81,0.0,8.210,1.247,A9III/IV,0.251,108.247588,-62.625690,-212.900936,-0.00000299,-0.00001095,0.00000170,5.758694166997623,-1.0396928897964401,-0.00000004445741450694444,0.000000013623264,,,Ind,1,108239,,27.61849442075293,BE,8.241,8.181
108526,108870,209100,8387,Gl 845,Eps Ind,,22.055486,-56.785977,11.8163,3959.97,-2538.84,-40.4,4.690,6.895,K5V,1.056,1.732589,-0.966715,-3.030307,-0.00001843,0.00008993,0.00001014,5.774112723667677,-0.9911022626319113,0.000019198476305895832,-0.000012308643647,Eps,,Ind,1,108526,,0.15205475297324955,,,
108630,108976,209295,,,,,22.077336,-64.728337,381.521,26.84,-58.82,0.0,7.330,1.990,A9/F0V,0.261,43.738196,-24.084927,-105.765390,-0.00001908,0.00002788,-0.00001424,5.779833067584929,-1.1297226082148026,0.0000001301239918611111,-0.000000285167406,,,Ind,1,108630,,13.931568029453029,CK,7.39,7.26
108728,109074,209750,8414,,34Alp Aqr,Sadalmelik,22.096399,-0.319851,523.595,17.90,-9.93,8.0,2.950,-3.078,G2Ib,0.969,140.987693,-76.722268,-0.896054,0.00001381,0.00000834,-0.00000777,5.784823674339427,-0.0055824472424825,0.00000008678164881944445,-0.000000048141998,Alp,34,Aqr,1,108728,,1483.2009671818741,,,
108735,109081,209529,8409,,Kap2Ind,,22.097496,-59.636072,491.265,56.46,-53.57,-11.0,5.620,-0.269,K4III,1.468,66.878892,-36.368868,-129.944498,-0.00001495,0.00005505,-0.00001006,5.7851108251007854,-1.04084580650352,0.00000027372580404166664,-0.000000259714688,Kap-2,,Ind,1,108735,,111.5835052288668,,,
109212,109558,,,,,,22.192044,18.092826,397.32,511.53,59.92,0.0,9.460,4.032,sdF8,0.459,103.051194,-52.777718,37.826731,0.00012791,0.00027384,0.00003363,5.809863504714926,0.31577938487812374,0.000002479967420145833,0.000000290500357,,,,1,109212,,2.1242224773886966,,,
110163,110509,212243,,,,,22.386907,-22.056610,1294.44,31.53,-5.43,-34.0,9.900,1.907,Md,1.500,335.471583,-150.741443,-149.016747,-0.00000811,0.00007014,0.00000338,5.860878675540343,-0.3849604583470925,0.00000015286175347916668,-0.000000026325382,,,Aqr,1,110163,,15.038343479613571,RT,10.296,8.996
110271,110618,211998,8515,Gl 855.1A,Nu  Ind,,22.409764,-72.255412,93.6279,1302.45,-674.12,25.2,5.280,2.990,A3V: + F9V,0.660,8.001105,-3.536637,-27.337277,-0.00000122,0.00019870,-0.00005314,5.866862497488095,-1.2610948459773512,0.000006314455782395833,-0.000003268225983,Nu,,Ind,1,110271,Gl 855.1,5.5462571295791046,,,
110848,111195,,,,,,22.526727,2.162177,422.539,51.69,-328.64,0.0,10.710,5.148,sdF7:,0.520,119.932005,-48.697129,4.887068,0.00001943,0.00002714,-0.00020622,5.897483352751675,0.03773711069780875,0.0000002506001914791667,-0.000001593291679,,,,1,110848,,0.7599762143610372,,,
111023,111372,213657,,,,,22.563075,-42.053830,513.701,-60.75,-250.77,45.8,9.650,3.664,sdF5,0.432,108.755125,-42.958085,-105.485068,-0.00010396,-0.00000880,-0.00017353,5.906999092912279,-0.7339777969635775,-0.0000002945243109375,-0.000001215767266,,,,1,111023,,2.9812610081722455,,,
111208,111558,,,,,,22.600948,-51.636986,251.116,275.06,79.40,0.0,9.560,5.128,sdG2,0.594,44.609378,-17.110867,-60.361380,0.00005846,0.00008752,0.00001839,5.91691439237446,-0.9012354297569575,0.0000013335285097361112,0.000000384942062,,,,1,111208,,0.7741052270741218,,,
112777,113137,216437,8701,,Rho Ind,,22.910981,-70.073709,87.2425,-43.19,73.20,-3.0,6.040,3.904,G4IV-V,0.660,8.747053,-2.563699,-25.143894,0.00000598,-0.00000759,0.00000612,5.998080818828499,-1.2230169347683775,-0.00000020939102863194444,0.000000354883614,Rho,,Ind,1,112777,,2.3900115514847258,,,
113045,113405,,,,,,22.967513,42.736410,326200,-3.29,-9.35,0.0,9.650,-10.350,M4e-M5e,1.611,70781.413507,-19612.535605,67862.655040,0.00253839,-0.00235834,-0.00332913,6.012880886434261,0.7458910623618087,-0.000000015950370090277777,-0.000000045330079,,,And,1,113045,,1202264.4346174132,TV,10.432,9.032
113280,113640,217543,8758,,,,23.015208,38.707844,1045.51,-0.87,-7.81,-16.0,6.570,-0.959,B3Vp,-0.116,241.843897,-63.770954,200.432428,-0.00000535,0.00000001,-0.00001970,6.025367365093558,0.675579321690455,-0.000000004217879020833333,-0.000000037863948,,,And,1,113280,,210.66869257394146,V378,6.631,6.531
113355,113715,,,,,,23.030408,45.885866,1647.47,-3.85,0.71,0.0,9.660,1.143,C3.4v,,340.295007,-88.284418,362.603334,-0.00000358,-0.00000881,0.00000121,6.029346662678392,0.8008594461190487,-0.00000001866532670138889,0.000000003442177,,,And,1,113355,,30.394849687701132,VY,9.846,9.206
113366,113726,217675,8762,,1Omi And,,23.032017,42.325979,686.737,22.47,0.24,-14.0,3.620,-2.997,B6pv SB,-0.099,150.676276,-39.022904,141.757338,-0.00000466,0.00002490,-0.00000946,6.029767825204297,0.73872769518108,0.00000010893763402083333,0.000000001163552,Omi,1,And,1,113366,,1376.5753865094157,Omi,3.686,3.586
113428,113788,217782,8766,Gl 886.1A,2    And,,23.043436,42.757795,421.447,55.67,-4.77,2.0,5.090,-0.466,A3Vn,0.094,91.902761,-23.508437,87.713296,0.00001206,0.00003290,-0.00000080,6.03275741458804,0.746264295650895,0.0000002698957759652778,-0.000000023125612,,2,And,1,113428,Gl 886.1,133.7827133604697,,,
113442,113802,217811,8768,,,,23.045875,44.058750,1062.54,2.19,-5.99,-8.0,6.370,-1.194,B2V,-0.020,226.815644,-57.864662,226.513178,0.00000153,0.00000318,-0.00001249,6.033395875902421,0.7689702588970337,0.000000010617419604166667,-0.000000029040339,,,And,1,113442,,261.57726827191084,LN,6.384,6.354
113559,113919,218031,8780,,3    And,,23.069702,50.052091,176.706,166.70,167.30,-35.0,4.640,0.971,K0III,1.058,33.756150,-8.387722,41.528947,-0.00004444,0.00005615,0.00000077,6.039633981613548,0.8735737770662613,0.0000008081844054861111,0.000000811093287,,3,And,1,113559,,35.6122980942762,,,
113652,114012,,,,,,23.089679,47.676295,326200,-3.16,-11.26,0.0,10.880,-9.120,B9V,0.150,65428.752382,-15895.155306,73935.258162,0.00356008,-0.00244131,-0.00367533,6.044863899949017,0.8321083163373251,-0.000000015320112305555555,-0.00000005459002,,,And,1,113652,,387257.6449216173,AA,11.395,10.755
113739,114100,218325,,,,,23.109156,46.923614,326200,-1.86,-2.61,-18.2,7.750,-12.250,B3,0.008,66448.245284,-15784.451039,73044.382203,0.00067842,-0.00108792,-0.00087773,6.049962909096573,0.8189715652806763,-0.000000009017534458333333,-0.000000012653637,,,And,1,113739,,6918309.709189377,V379,7.836,7.686
113745,114106,218326,,,,,23.110293,42.657360,898.623,-1.81,-4.54,-22.0,8.010,0.810,B9,-0.040,197.123667,-46.763785,186.669996,-0.00001266,0.00000052,-0.00001971,6.0502604702176335,0.7445113834077662,-0.000000008775127618055556,-0.000000022010541,,,And,1,113745,,41.304750199016105,V380,8.05,7.97
113793,114154,218393,,,,,23.118392,50.192358,1517.21,2.20,-1.09,-15.0,7.020,-1.318,Bpe,0.285,289.876894,-68.118738,357.301373,-0.00000659,0.00000664,-0.00001336,6.052380919326634,0.8760219067608962,0.000000010665900972222224,-0.000000005284469,,,And,1,113793,,293.2243282303115,KX,7.107,6.897
113839,114200,218452,8804,,4    And,,23.127575,46.387231,348.877,-11.87,-29.97,-6.0,5.300,0.154,K5III,1.409,71.857434,-16.703750,77.435078,0.00000544,-0.00000758,-0.00001516,6.054785017460391,0.809609908636725,-0.00000005754738388194444,-0.00000014529866,,4,And,1,113839,,75.5788013680452,,,
113849,114210,218470,8805,,5    And,,23.129260,49.295776,112.019,152.15,132.08,-2.0,5.680,3.001,F5V,0.449,21.816063,-5.061066,26.033199,-0.00001181,0.00002874,0.00001279,6.055226154385132,0.8603735959917037,0.0000007376440149652778,0.000000640341909,,5,And,1,113849,,5.490349610252035,,,
113944,114305,218609,,,,,23.149188,38.915176,776.667,5.65,-5.49,0.0,7.350,0.466,A0,0.042,180.679668,-40.923987,149.564065,0.00000532,0.00000548,-0.00000493,6.060443308679763,0.6791979521076287,0.00000002739197295138889,-0.000000026616271,,,And,1,113944,,56.70221181605431,V381,7.401,7.331
113968,114329,218674,,,,,23.154651,49.650613,1591.22,2.35,-0.23,-14.6,6.750,-1.691,B3IV SB:,-0.043,308.124777,-69.327201,371.761152,-0.00000781,0.00000745,-0.00001173,6.061873509689812,0.8665666672431288,0.000000011393121493055556,-0.000000001115071,,,And,1,113968,,413.42810804713463,KY,6.783,6.723
113984,114345,,,,,,23.158344,53.044398,326200,4.46,0.69,0.0,9.400,-10.600,K0,1.107,58666.033150,-13140.116720,79910.161351,0.00021173,0.00216823,0.00020110,6.062840201198538,0.9257993982706225,0.000000021622690152777776,0.000000003345214,,,And,1,113984,,1513561.2484362072,RZ,9.438,9.358
114017,114379,218738,,NN 4315A,,,23.165922,47.958373,77.2435,147.06,12.42,-6.8,7.910,6.038,K0Ve,0.900,15.481071,-3.435187,17.585959,-0.00000192,0.00001772,-0.00000421,6.064824226461238,0.8370315178712663,0.0000007129669986249999,0.000000060213859,,,And,1,114017,NN 4315,0.3348112173860537,KZ,,
114022,114384,218754,,,,,23.166104,42.835909,1896.51,-8.65,-15.27,0.0,9.150,0.328,A0,0.162,416.219884,-92.338102,395.291257,0.00002329,-0.00003014,-0.00003156,6.064871868056645,0.7476276472283213,-0.000000041936383368055554,-0.000000074031049,,,And,1,114022,,64.38726829014608,V382,9.324,9.094
114068,114430,218804,8825,,6    And,,23.174235,43.544232,90.1852,-202.18,-207.65,-43.0,5.910,3.702,F5IV,0.450,19.573117,-4.298653,19.046287,-0.00001822,-0.00002374,-0.00005047,6.06700049928238,0.7599902162384388,-0.0000009801962993472223,-0.000001006715607,,6,And,1,114068,,2.87872381083525,,,
114122,114484,,,,,,23.186139,53.025845,258.683,-6.88,-20.64,0.0,8.970,4.474,F8Vvar,0.546,46.618042,-10.085923,63.354994,0.00000564,-0.00000393,-0.00000477,6.070117097142164,0.9254755824264987,-0.00000003335518122222222,-0.000000100065543,,,And,1,114122,,1.413839139094564,RT,9.395,8.915
114145,114507,218942,,,,,23.191687,52.886800,1124.83,-6.68,-3.89,-22.0,9.100,1.412,M6IIvar,1.568,203.424621,-43.702230,274.980866,-0.00001055,-0.00000915,-0.00002187,6.071569390626403,0.923048784981545,-0.00000003238555386111111,-0.000000018859252,,,And,1,114145,,23.7246601510481,SS,9.38,8.87
114146,114508,,,,,,23.192242,36.893086,344.456,109.02,-53.56,0.0,9.700,4.582,G5 + G5,0.870,82.570347,-17.726130,63.392144,0.00002781,0.00005111,-0.00002193,6.071714706758902,0.6439058239206887,0.0000005285438745416667,-0.000000259666207,,,And,1,114146,,1.2799706167051799,AB,10.318,9.518
114208,114570,219080,8830,Gl 891.1,7    And,,23.209160,49.406207,80.2064,89.78,95.57,11.2,4.530,2.576,F0V,0.302,15.657659,-3.288881,18.670848,0.00000103,0.00001072,0.00001611,6.076143818575071,0.8623009851937975,0.00000043526572240277777,0.000000463336434,,7,And,1,114208,,8.120822162499833,,,
114316,114678,219025,,,,,23.231316,-68.291340,851.697,47.85,-8.81,0.0,7.670,0.586,K2IIIp,1.208,94.627375,-19.303868,-242.578761,0.00000196,0.00006141,-0.00000412,6.0819442918542785,-1.1919087297307436,0.00000023198334614583338,-0.000000042712085,,,Ind,1,114316,,50.76916258882487,BI,7.696,7.636
114395,114757,219346,,,,,23.245612,40.794249,1591.22,2.89,-9.67,-6.0,9.240,0.799,M5e-M6e,1.383,362.118883,-72.462503,318.704672,0.00001144,0.00000468,-0.00002132,6.085686880597259,0.7119939637870325,0.000000014011115368055558,-0.000000046881482,,,And,1,114395,,41.72535112317937,TY,9.856,9.066
114488,114850,,,,,,23.263705,42.579002,1583.5,3.63,-4.88,0.0,8.310,-0.121,M0,1.669,350.828749,-68.476550,328.449593,0.00000926,0.00000690,-0.00000846,6.0904236479889455,0.7431437709845637,0.000000017598736604166667,-0.000000023658907,,,And,1,114488,,97.36435697988867,V383,8.358,8.248
114660,115022,219734,8860,,8    And,,23.295732,49.015300,563.385,34.48,6.74,-8.0,4.820,-1.367,M2III,1.668,111.354244,-20.766915,130.377297,-0.00000417,0.00003014,-0.00000248,6.098808456682875,0.8554783629188675,0.00000016716375705555553,0.000000032676442,,8,And,1,114660,,306.7608976917938,,,
114674,115036,219749,8861,,,,23.298890,45.488924,586.691,23.93,-10.02,3.0,6.480,0.205,B9p...,-0.037,123.969602,-23.013606,128.258091,0.00001205,0.00001898,-0.00000394,6.099635224139246,0.7939314939396125,0.00000011601591375694446,-0.00000004857833,,,And,1,114674,,72.11074791828995,ET,6.502,6.462
114684,115046,,,,,,23.300652,48.782868,326200,-2.75,-4.04,0.0,11.070,-8.930,F4,0.499,64790.129836,-11996.711199,75221.792030,0.00120586,-0.00157906,-0.00129047,6.100096352341708,0.85142166461837,-0.000000013332376215277777,-0.000000019586472,,,And,1,114684,,325087.29738543474,AC,11.31,10.6
114703,115065,219815,8864,,9    And,,23.306479,41.773676,422.539,-9.58,-11.03,-4.0,5.980,0.418,A7m,0.215,95.015978,-17.443523,86.294018,0.00000045,-0.00000620,-0.00000789,6.101622048604932,0.729088181094205,-0.00000004644515059722222,-0.000000053474948,,9,And,1,114703,,59.26523352402154,AN,6.09,5.94
114789,115152,219945,8874,,11    And,,23.324945,48.625322,286.14,22.98,51.91,11.0,5.440,0.725,K0III,1.014,57.077691,-10.193605,65.824923,-0.00000727,0.00001122,0.00002303,6.1064562648391085,0.8486719700843338,0.00000011141018379166667,0.000000251666781,,11,And,1,114789,,44.668359215096324,,,
114828,115191,219981,8876,,10    And,,23.331225,42.078044,481.121,47.78,4.25,3.0,5.810,-0.034,M0III,1.512,107.800199,-19.069371,98.841040,0.00000619,0.00003360,0.00000431,6.108100343884795,0.7344004142900837,0.00000023164397656944445,0.000000020604581,,10,And,1,114828,,89.86694950475258,,,
114837,115200,219989,,,,,23.333670,41.754853,865.252,32.30,4.92,0.0,7.350,0.232,A0,0.218,194.875076,-34.343954,176.643203,0.00000306,0.00004163,0.00000472,6.1087404042046645,0.7287596567122888,0.00000015659481881944443,0.000000023852833,,,And,1,114837,,70.33961712162473,OT,7.465,7.335
114916,115280,220117,8885,,12    And,,23.348123,38.182326,136.886,129.56,-61.21,-9.0,5.770,2.656,F5V,0.468,32.506379,-5.602010,25.940605,0.00000493,0.00002589,-0.00001548,6.11252440609029,0.6664073073985363,0.0000006281246045277777,-0.000000296754453,,12,And,1,114916,,7.543970821979897,,,
114967,115331,220182,,Gl 894.4,,,23.360102,44.097883,70.211,636.25,219.20,4.4,7.360,5.695,K1V,0.801,15.241090,-2.577253,14.978214,-0.00000144,0.00006757,0.00001956,6.115660391486623,0.7696532487263862,0.000003084627042534722,0.000001062711587,,,And,1,114967,,0.4591980128368683,V453,7.397,7.337
115139,115504,,,,,,23.397768,49.068818,326200,7.10,-0.40,0.0,9.250,-10.750,M2,1.666,64702.607329,-10286.643942,75549.702588,0.00068510,0.00337619,-0.00012704,6.125521216190499,0.8564124300315274,0.00000003442177131944444,-0.000000001939254,,,And,1,115139,,1737800.8287493763,V384,9.352,9.162
115165,115530,220524,,,,,23.402464,41.612874,956.598,-12.12,2.31,0.0,6.370,-0.966,M0,1.702,216.574573,-34.158884,194.749016,-0.00000484,-0.00001668,0.00000246,6.126750749855092,0.726281653992965,-0.00000005875941808333333,0.000000011199196,,,And,1,115165,,212.031311673985,V385,6.441,6.331
115176,115541,,,,,,23.404147,35.496257,326200,-9.46,-7.27,0.0,9.340,-10.660,M0,1.619,80426.764320,-12648.873008,58064.977333,0.00130905,-0.00484818,-0.00286931,6.127191230695476,0.6195265605979025,-0.00000004586337418055556,-0.000000035245954,,,And,1,115176,,1599558.0286146712,V386,9.427,9.217
115278,115643,220719,,,,,23.426695,52.979468,2363.77,-6.85,-13.00,3.7,6.760,-2.541,M0,1.594,431.400063,-65.239886,578.565111,0.00003471,-0.00002959,-0.00002447,6.1330945244148,0.9246661495244425,-0.00000003320973711805555,-0.000000063025778,,,And,1,115278,,904.482149047591,V387,6.82,6.71
115315,115680,,,GJ 2155,,,23.436767,8.893831,75.8956,519.20,211.67,0.0,10.560,8.726,sdM:,1.461,22.737410,-3.377226,3.597109,0.00000495,0.00005847,0.00002359,6.135731365085507,0.15522663329477376,0.0000025171526294444448,0.000001026205117,,,,1,115315,,0.02815788299710311,,10.606,10.496
115378,115743,220870,,,,,23.449268,49.516381,326200,-3.38,-2.48,-18.0,9.100,-10.900,N0,2.791,64249.409730,-9328.305724,76059.161378,0.00065767,-0.00175119,-0.00079453,6.1390038876163535,0.8642238847954338,-0.000000016386702402777776,-0.000000012023379,,,And,1,115378,,1995262.3149688828,EW,9.287,8.997
115390,115755,220885,8913,,13    And,,23.452050,42.912010,300.092,87.42,17.07,-9.0,5.750,0.931,B9III,-0.007,66.685973,-9.632366,62.637871,-0.00000623,0.00004029,-0.00000069,6.139732454461046,0.7489558631298312,0.0000004238241195416666,0.000000082757695,,13,And,1,115390,,36.948771225393216,V388,5.778,5.728
115674,116039,,,,,,23.512083,46.153032,1235.61,7.21,-3.82,0.0,8.220,0.328,K5,1.605,260.261664,-33.426867,273.179033,0.00000670,0.00001249,-0.00000486,6.155448858856831,0.8055223739510325,0.000000034955066368055554,-0.000000018519882,,,And,1,115674,,64.38726829014608,KQ,8.251,8.191
115711,116076,221345,8930,,14    And,,23.521490,39.236198,258.274,287.30,-83.78,-59.0,5.220,0.727,K0III,1.029,60.844885,-7.662161,50.080351,-0.00001241,0.00011271,-0.00006307,6.157911756609912,0.6848008429521162,0.0000013928697042361111,-0.000000406176901,,14,And,1,115711,,44.58615279480704,,,
115787,116153,221460,,,,,23.533698,43.822359,1245.04,-10.90,-6.05,0.0,8.170,0.262,A0,0.224,273.328471,-33.534053,264.284276,0.00000524,-0.00002096,-0.00000808,6.161107819608952,0.7648444563517638,-0.00000005284469118055555,-0.000000029331227,,,And,1,115787,,68.42266727659509,V389,8.248,8.148
115862,116228,221588,,,,,23.549019,46.123681,853.927,49.05,-1.08,0.0,6.610,-0.480,M0,1.670,180.177695,-21.372181,188.700951,0.00000831,0.00006170,-0.00000095,6.165118811759716,0.8050101021851138,0.0000002378011103125,-0.000000005235987,,,And,1,115862,,135.51894123510365,V390,6.699,6.509
115919,116287,221650,,,,,23.561098,48.818318,2912.5,-6.72,-6.21,3.0,10.600,0.846,M2III + B1eq,1.120,584.023995,-67.403861,671.987009,0.00001877,-0.00003145,-0.00001539,6.168281006929555,0.8520403915643713,-0.000000032579479333333326,-0.000000030106929,,,And,1,115919,,39.95765566188054,Z,10.911,10.361
115988,116354,221756,8947,,15    And,,23.577095,40.236441,262.008,-17.71,-45.77,13.0,5.550,1.026,A1III,0.096,60.940765,-6.774861,51.883084,0.00002077,-0.00000925,-0.00000502,6.1724689147206,0.7022583763818162,-0.0000000858605028263889,-0.000000221899221,,15,And,1,115988,,33.853221281535426,V340,5.559,5.539
116032,116398,221789,,,,,23.586677,-11.577651,386.493,-2.72,-4.87,0.0,8.030,2.662,Fm delta Del,0.316,115.393812,-12.535458,-23.779123,-0.00000073,-0.00000149,-0.00000274,6.174977645614344,-0.2020681375912275,-0.000000013186932111111111,-0.000000023610426,,,,1,116032,,7.502396279074636,,,
116045,116411,,,,,,23.590047,36.748341,1279.22,1.69,-2.50,0.0,9.190,1.223,M2,1.628,312.416007,-33.659534,234.628022,0.00000317,0.00000289,-0.00000381,6.1758598166918235,0.6413795439470075,0.000000008193351201388888,-0.000000012120342,,,And,1,116045,,28.235793691102995,V391,9.405,9.035
116218,116584,222107,8961,Wo 9832,16Lam And,,23.626056,46.458152,86.1367,159.22,-421.46,6.8,3.810,1.701,G8III-IV,0.984,18.103691,-1.777950,19.141071,0.00004568,0.00001599,-0.00003212,6.185286913302995,0.8108477121622925,0.0000007719203421805556,-0.000002043295738,Lam,16,And,1,116218,,18.18025623774263,Lam,3.951,3.741
116247,116613,222143,8964,NN 4351,,,23.632888,46.199437,76.1083,357.33,-11.09,-0.6,6.580,4.740,G5,0.665,16.074590,-1.549590,16.839803,0.00000436,0.00004018,-0.00000131,6.187075508366342,0.8063322805489263,0.0000017323847247291666,-0.000000053765837,,,And,1,116247,,1.1066237839776658,V454,6.603,6.563
