id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
50240,50382,298986,,,,,10.287424,-52.488533,493.495,408.35,3.50,195.6,10.060,4.161,sdF5,0.447,-83.017477,39.932206,-120.006128,-0.00024143,-0.00021619,-0.00015712,2.6932413066958145,-0.9160977135258175,0.0000019797366645486113,0.000000016968478,,,,1,50240,,1.8862532453510659,,10.107,9.997
51046,51191,,,,,,10.456735,1.400053,1347.93,-185.47,-294.53,0.0,11.030,2.949,sdF8:,0.498,-379.839355,162.399075,10.096320,0.00013279,0.00034729,-0.00058982,2.7375668821405834,0.024435528684836248,-0.0000008991839333263889,-0.000001427921733,,,,1,51046,,5.759701812546713,,11.083,10.963
53879,54035,95735,,Gl 411,,Lalande 21185,11.055632,35.969877,8.30799,-580.20,-4767.09,-84.3,7.490,10.460,M2V,1.502,-1.998000,0.504305,1.495504,0.00003587,-0.00000166,-0.00009828,2.8943575772214722,0.627792793335765,-0.0000028128889745833336,-0.000023111504484,,,,1,53879,,0.0057016427228074665,,,
54479,54639,,,,,,11.183334,6.419861,207.903,-565.13,-509.99,0.0,11.390,7.368,sdG3:,0.734,-61.893159,13.438324,7.126417,0.00001982,0.00017437,-0.00015658,2.9277899385089117,0.11204771361372125,-0.000002739827552923611,-0.000002472501289,,,,1,54479,,0.09835580562269569,,11.469,11.309
56901,57072,101696,,,,,11.699435,-24.385802,336.984,-6.47,-30.43,0.0,6.900,1.829,Fm delta Del,0.370,-93.798336,7.396062,-42.652770,0.00000653,0.00000274,-0.00001388,3.062904812534855,-0.4256125428770175,-0.000000031367445131944445,-0.000000147528802,,,Crt,1,56901,,16.15846120949001,VY,6.955,6.835
57277,57450,,,GJ 1150,,,11.776514,50.881856,253.852,-870.67,-543.83,1.8,9.910,5.455,sdG0,0.582,-49.014878,2.872124,60.377175,-0.00014087,0.00033727,-0.00012801,3.0830842011363657,0.8880559230804176,-0.000004221127272493055,-0.000002636562238,,,,1,57277,,0.572796030985829,,9.97,9.85
57469,57642,102681,,,,,11.819942,-41.757577,326200,-27.04,-0.14,38.0,10.040,-9.960,Md,1.500,-74514.064579,3515.163595,-66598.032049,0.00063386,0.01309290,-0.00007651,3.094453493930832,-0.7288072019389662,-0.0000001310936192222222,-0.000000000678739,,,Cen,1,57469,,839459.9865193982,X,11.172,7.572
57767,57939,103095,4550,Gl 451A,,Groombridge 1830,11.882820,37.718679,29.6571,4003.69,-5813.00,-99.1,6.420,6.627,G8Vp,0.754,-7.187679,0.220247,5.561623,-0.00008204,-0.00017401,-0.00026465,3.1109149833224112,0.6583151445815625,0.00001941043684703472,-0.00002818221925,,,UMa,1,57767,Gl 451,0.194625615936124,CF,6.546,6.406
57828,58001,103287,4554,,64Gam UMa,Phad,11.897168,53.694760,83.1931,107.76,11.16,-13.0,2.410,0.377,A0V SB,0.044,-15.094867,0.406425,20.552678,0.00000862,-0.00001356,-0.00000990,3.1146712453081937,0.9371503534205525,0.0000005224352221666667,0.000000054105206,Gam,64,UMa,1,57828,,61.54602373713163,,,
59487,59670,,,,,,12.236202,53.591188,339.085,-310.14,-21.78,0.0,9.640,4.556,sdF8:,0.527,-61.580928,-3.812322,83.659302,-0.00001848,0.00015544,-0.00000651,3.2034302684899476,0.9353426790663337,-0.0000015036011488749999,-0.000000105592419,,,,1,59487,,1.3109918746497773,,,
59922,60106,107199,,,,,12.327187,-19.256068,326200,-2.36,-6.30,-22.0,9.250,-10.750,Md,1.173,-94059.287506,-8076.623347,-32979.062294,0.00092679,0.00122785,-0.00287578,3.227249915885975,-0.33608178225353375,-0.000000011441602861111111,-0.000000030543261,,,Crv,1,59922,,1737800.8287493763,R,10.706,6.896
60445,60632,108177,,,,,12.426376,1.283964,360.442,-33.90,-470.50,155.5,9.660,4.443,sdF5,0.445,-109.783319,-12.305727,2.476000,-0.00016564,-0.00000029,-0.00024840,3.25321775292142,0.022409401826788748,-0.00000016435183770833332,-0.000002281048367,,,,1,60445,,1.4547889712157105,,,
61168,61361,,,,,,12.573649,15.280271,819.598,-296.28,-38.36,0.0,12.010,5.009,sdA6:,0.448,-239.645804,-36.263163,66.216313,-0.00006617,0.00035497,-0.00004507,3.2917735984477385,0.2666910427228888,-0.00000143640597275,-0.000000185974527,,,,1,61168,,0.8637737465291835,,12.097,11.917
